Model,Parameters,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score
Logistic Regression,"{'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear'}",0.8887532131319466,0.8908507711837027,0.8887532131319466,0.8748057071257928,0.8877706931507654,0.8901582200002225,0.8877706931507654,0.8735638800265959
Random Forest,"{'max_depth': 10, 'n_estimators': 50}",0.7846605722583413,0.855921707449584,0.7846605722583413,0.8032197398446032,0.7811535862251344,0.8540604346244752,0.7811535862251344,0.8000337769415665
